Id,Age,Gender,Marital_status,Numofcomp_worked,Work_Experience,Last_salary,Salary_hike,Work_hours,Traveling_required,NoticePeriod_buyout,Job_type,Whether_comp_Possess_vehicle,Work_location,Traveltowork_distance_time,Work_area_living_cost,Public_transport_nearby,Current_employment,Offer_letter_Processtime_week,Bonus,Allowance,Overtime_pay,Emp_shares_scheme,Performance_incentive,Annual_leave,Medical_Family,Child_day_care,Nursing_room,Parking,Comp_size,Comp_rating,Work_life,Stresslevel,Accept_offer
18,27-33,Female,Married,0-2',5,3.5-7K,<25%,Mon-Fri,No,No,Contract,Yes,Outskirt Town,Near,Average,No,Unemployed/Resigned,3,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,No
19,27-33,Male,Married,0-2',8,7-10K,50-75%,Mon-Fri,No,No,Permanant,Yes,Town,Average,Average,Yes,Working,3,Yes,No,Yes,No,Yes,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,Yes
20,19-26,Female,Single,0-2',2,3.5-7K,25-50%,24/7 Operation,No,No,Contract,Yes,Town,Near,High Cost,No,Working,3,No,No,No,No,No,Less Than 12 Days,No,No,No,No,200 to 500,High,High,High,No
21,19-26,Male,Single,0-2',2,3.5-7K,25-50%,24/7 Operation,No,No,Contract,Yes,Town,Far,High Cost,No,Working,3,No,Yes,No,No,No,Less Than 12 Days,No,No,No,No,500 to 2000,High,High,High,No
22,19-26,Female,Single,0-2',5,3.5-7K,25-50%,Mon-Fri,Yes,No,Permanant,Yes,Town,Near,High Cost,No,Working,3,Yes,No,Yes,No,No,More Than 12 Days,No,No,Yes,Yes,More Than 5000,High,High,High,Yes
23,19-26,Male,Single,0-2',8,3.5-7K,Above 100%,Mon-Fri,Yes,Yes,Permanant,Yes,Business Centre,Average,High Cost,No,Working,4,No,No,No,No,No,Less Than 12 Days,No,No,No,Yes,200 to 500,High,High,High,Yes
24,19-26,Male,Single,3-5',2,3.5-7K,<25%,Mon-Fri,Yes,No,Permanant,No,Business Centre,Average,High Cost,Yes,Working,3,No,No,No,No,No,More Than 12 Days,No,No,No,No,500 to 2000,High,High,High,No
25,27-33,Male,Single,0-2',8,3.5-7K,25-50%,Flexible Hours,Yes,Yes,Permanant,Yes,Town,Near,High Cost,No,Working,4,Yes,No,No,No,Yes,More Than 12 Days,No,No,No,Yes,More Than 5000,High,High,High,Yes
26,19-26,Male,Single,3-5',5,3.5-7K,75-100%,Mon-Fri,Yes,Yes,Contract,Yes,Town,Near,Average,Yes,Working,5,Yes,No,No,No,Yes,More Than 12 Days,No,No,No,Yes,2000 to 5000,High,High,High,Yes
27,19-26,Male,Single,0-2',2,3.5-7K,<25%,Mon-Fri,No,No,Contract,Yes,Town,Average,High Cost,Yes,Working,3,No,No,Yes,No,No,More Than 12 Days,No,No,No,No,More Than 5000,Low,High,High,No
28,40 Above,Male,Single,0-2',8,7-10K,50-75%,Mon-Fri,Yes,No,Contract,Yes,Business Centre,Average,Average,Yes,Working,3,No,No,Yes,No,No,More Than 12 Days,Yes,No,No,No,More Than 5000,High,Low,High,Yes
29,27-33,Male,Single,0-2',5,3.5-7K,25-50%,Mon-Fri,Yes,Yes,Permanant,Yes,Town,Near,High Cost,Yes,Unemployed/Resigned,2,Yes,Yes,No,No,No,More Than 12 Days,No,No,No,Yes,500 to 2000,High,High,High,Yes
30,19-26,Male,Single,0-2',2,3.5-7K,<25%,24/7 Operation,No,No,Permanant,Yes,Town,Near,High Cost,No,Working,4,No,No,No,Yes,No,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,No
31,34-40,Male,Single,0-2',8,7-10K,50-75%,Mon-Fri,Yes,No,Permanant,Yes,Town,Near,Low Cost,No,Working,5,No,No,No,No,No,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,Yes
32,19-26,Male,Single,0-2',5,3.5-7K,Above 100%,24/7 Operation,No,Yes,Permanant,Yes,Business Centre,Near,Average,No,Working,4,Yes,Yes,Yes,No,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,Yes
33,27-33,Female,Single,0-2',5,3.5-7K,25-50%,Mon-Fri,Yes,Yes,Permanant,Yes,Town,Near,Average,Yes,Unemployed/Resigned,2,Yes,No,No,No,Yes,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,Yes
34,27-33,Male,Single,3-5',5,3.5-7K,25-50%,Mon-Fri,Yes,Yes,Contract,Yes,Business Centre,Near,High Cost,No,Working,3,Yes,No,No,No,Yes,More Than 12 Days,No,Yes,No,Yes,More Than 5000,High,High,High,Yes
35,27-33,Male,Single,0-2',5,3.5-7K,50-75%,Mon-Fri,Yes,Yes,Contract,Yes,Business Centre,Far,Average,Yes,Working,3,No,No,No,No,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,Yes
36,19-26,Female,Single,0-2',2,3.5-7K,25-50%,Flexible Hours,Yes,No,Permanant,Yes,Town,Near,Average,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,No,More Than 5000,High,High,High,Yes
37,34-40,Male,Single,0-2',5,15K Above,<25%,Mon-Fri,Yes,No,Contract,Yes,Business Centre,Average,Average,No,Working,5,Yes,No,No,No,No,Less Than 12 Days,No,No,No,No,Less Than 200,High,Low,High,No
38,19-26,Male,Single,0-2',5,7-10K,50-75%,24/7 Operation,No,No,Contract,Yes,Business Centre,Near,Average,No,Working,4,No,Yes,Yes,No,Yes,More Than 12 Days,No,No,No,Yes,More Than 5000,High,High,High,Yes
39,27-33,Male,Single,0-2',5,7-10K,25-50%,24/7 Operation,No,No,Permanant,No,Business Centre,Near,High Cost,No,Working,3,No,No,No,No,No,More Than 12 Days,No,Yes,No,Yes,More Than 5000,High,High,High,No
40,19-26,Male,Single,0-2',2,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Near,Average,Yes,Working,5,Yes,Yes,No,No,No,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,Yes
41,27-33,Male,Single,0-2',2,3.5-7K,25-50%,Mon-Fri,Yes,Yes,Permanant,No,Town,Near,Low Cost,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,Yes
42,27-33,Female,Single,0-2',5,3.5-7K,50-75%,Mon-Fri,Yes,Yes,Contract,No,Business Centre,Near,High Cost,No,Working,5,No,No,No,No,Yes,More Than 12 Days,No,No,No,No,500 to 2000,High,High,High,No
43,27-33,Male,Married,3-5',8,3.5-7K,<25%,Flexible Hours,No,No,Contract,Yes,Business Centre,Near,High Cost,Yes,Working,3,Yes,No,Yes,Yes,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
44,27-33,Male,Single,0-2',5,7-10K,25-50%,Flexible Hours,Yes,No,Permanant,Yes,Town,Near,Average,No,Working,3,Yes,No,No,No,No,More Than 12 Days,No,No,No,Yes,2000 to 5000,High,High,High,Yes
45,40 Above,Male,Married,3-5',8 Above,7-10K,50-75%,Flexible Hours,Yes,Yes,Permanant,Yes,Business Centre,Near,High Cost,No,Working,4,No,No,Yes,Yes,Yes,More Than 12 Days,Yes,No,No,No,More Than 5000,High,High,High,Yes
46,34-40,Male,Single,3-5',5,15K Above,25-50%,24/7 Operation,Yes,No,Permanant,Yes,Business Centre,Near,High Cost,No,Working,2,Yes,No,No,No,No,More Than 12 Days,No,No,No,Yes,500 to 2000,High,Low,High,No
47,27-33,Male,Single,6-8',8,15K Above,<25%,Mon-Fri,Yes,No,Contract,Yes,Business Centre,Near,High Cost,No,Working,5,No,No,No,No,Yes,More Than 12 Days,No,No,No,No,500 to 2000,High,High,High,No
48,19-26,Female,Single,0-2',2,3.5-7K,25-50%,24/7 Operation,No,No,Permanant,Yes,Business Centre,Far,High Cost,Yes,Working,3,No,No,No,No,No,More Than 12 Days,No,No,No,No,500 to 2000,High,High,High,No
49,34-40,Female,Married,3-5',8,3.5-7K,25-50%,24/7 Operation,No,No,Contract,Yes,Outskirt Town,Near,Average,Yes,Working,2,No,No,No,No,No,Less Than 12 Days,No,No,No,Yes,500 to 2000,High,High,High,No
50,27-33,Female,Married,0-2',5,3.5-7K,50-75%,24/7 Operation,No,Yes,Permanant,Yes,Business Centre,Near,High Cost,No,Working,3,Yes,Yes,No,No,No,More Than 12 Days,No,No,No,No,200 to 500,High,High,High,Yes
51,19-26,Female,Single,3-5',2,3.5-7K,<25%,Mon-Fri,Yes,No,Contract,Yes,Business Centre,Average,High Cost,No,Working,2,Yes,No,Yes,No,No,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,No
52,19-26,Female,Single,0-2',2,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,No,Town,Near,Low Cost,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,No,No,No,No,Less Than 200,High,High,High,Yes
53,19-26,Female,Single,0-2',5,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Business Centre,Average,Average,Yes,Working,3,No,No,No,Yes,Yes,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,No
54,34-40,Female,Married,3-5',8,3.5-7K,25-50%,Mon-Fri,Yes,No,Permanant,Yes,Town,Average,Average,No,Working,3,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,Yes,More Than 5000,High,High,High,No
55,27-33,Female,Single,3-5',5,10-15K,25-50%,Flexible Hours,Yes,No,Contract,Yes,Town,Near,Low Cost,Yes,Working,3,Yes,No,Yes,No,No,More Than 12 Days,Yes,No,Yes,No,2000 to 5000,High,High,High,Yes
56,27-33,Female,Single,0-2',2,3.5-7K,<25%,Mon-Fri,Yes,Yes,Permanant,Yes,Outskirt Town,Far,Average,No,Working,5,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,No,More Than 5000,High,Low,High,No
57,27-33,Female,Married,0-2',5,7-10K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Business Centre,Near,Average,Yes,Working,2,No,No,No,No,No,Less Than 12 Days,No,No,No,No,Less Than 200,High,High,High,No
58,19-26,Female,Single,0-2',2,3.5-7K,<25%,Mon-Fri,Yes,No,Contract,No,Outskirt Town,Near,Average,No,Working,4,Yes,No,No,No,No,More Than 12 Days,No,No,No,Yes,500 to 2000,High,High,High,No
59,19-26,Female,Married,0-2',5,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Near,Average,No,Working,3,No,No,No,No,No,More Than 12 Days,No,No,No,No,500 to 2000,High,High,High,No
60,27-33,Female,Married,0-2',5,10-15K,25-50%,Flexible Hours,No,No,Permanant,Yes,Town,Average,Low Cost,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,Yes,No,Yes,Yes,More Than 5000,High,High,High,Yes
61,19-26,Female,Single,0-2',2,3.5-7K,<25%,Mon-Fri,Yes,No,Permanant,Yes,Town,Average,Average,Yes,Unemployed/Resigned,2,Yes,Yes,Yes,No,No,More Than 12 Days,No,Yes,Yes,Yes,More Than 5000,High,High,High,Yes
62,19-26,Female,Married,0-2',5,3.5-7K,25-50%,24/7 Operation,No,No,Contract,Yes,Business Centre,Average,High Cost,Yes,Working,5,Yes,Yes,Yes,No,No,More Than 12 Days,No,Yes,No,Yes,More Than 5000,High,High,High,No
63,19-26,Female,Married,0-2',2,3.5-7K,25-50%,24/7 Operation,No,No,Contract,Yes,Business Centre,Average,High Cost,Yes,Working,2,No,Yes,No,No,Yes,Less Than 12 Days,No,No,No,No,500 to 2000,High,Low,High,No
64,27-33,Female,Married,3-5',5,7-10K,25-50%,Mon-Fri,Yes,No,Permanant,Yes,Business Centre,Far,High Cost,No,Working,3,No,No,No,No,No,More Than 12 Days,Yes,No,Yes,No,2000 to 5000,High,Low,High,No
65,19-26,Female,Married,0-2',2,3.5-7K,25-50%,Mon-Fri,No,No,Permanant,Yes,Town,Near,Low Cost,Yes,Working,3,Yes,No,Yes,No,Yes,More Than 12 Days,No,No,Yes,Yes,2000 to 5000,High,High,High,Yes
66,19-26,Female,Married,0-2',2,3.5-7K,<25%,Mon-Fri,No,No,Contract,No,Outskirt Town,Far,Low Cost,No,Working,2,No,No,No,No,No,More Than 12 Days,No,No,Yes,No,More Than 5000,High,High,High,No
67,34-40,Female,Married,3-5',8 Above,7-10K,<25%,Mon-Fri,No,No,Permanant,Yes,Outskirt Town,Far,Low Cost,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,No
68,19-26,Female,Married,0-2',8,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Business Centre,Average,Average,Yes,Working,3,No,No,No,No,No,More Than 12 Days,No,Yes,No,No,Less Than 200,High,High,High,Yes
69,19-26,Male,Married,3-5',5,3.5-7K,25-50%,24/7 Operation,No,No,Permanant,Yes,Town,Average,Average,Yes,Working,3,Yes,Yes,Yes,Yes,No,More Than 12 Days,No,No,No,Yes,More Than 5000,High,High,High,Yes
70,27-33,Female,Married,3-5',8,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Town,Average,Low Cost,No,Working,3,Yes,No,No,No,Yes,More Than 12 Days,Yes,No,No,Yes,500 to 2000,High,High,High,Yes
71,27-33,Female,Married,0-2',5,3.5-7K,25-50%,Mon-Fri,No,Yes,Permanant,Yes,Town,Average,Average,No,Unemployed/Resigned,3,Yes,No,No,No,No,More Than 12 Days,No,No,No,Yes,500 to 2000,High,High,High,Yes
72,27-33,Female,Married,0-2',5,3.5-7K,Above 100%,Flexible Hours,No,Yes,Permanant,Yes,Business Centre,Average,High Cost,Yes,Working,4,Yes,No,No,No,No,More Than 12 Days,No,Yes,Yes,No,2000 to 5000,High,High,High,Yes
73,19-26,Female,Married,0-2',5,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Town,Near,Average,Yes,Unemployed/Resigned,3,Yes,No,No,No,Yes,Less Than 12 Days,No,No,No,Yes,200 to 500,High,High,High,Yes
74,34-40,Female,Married,6-8',8,10-15K,25-50%,Mon-Fri,Yes,No,Permanant,Yes,Business Centre,Far,High Cost,No,Working,5,No,No,No,No,No,More Than 12 Days,No,Yes,No,Yes,Less Than 200,High,Low,High,No
75,19-26,Male,Single,3-5',2,3.5-7K,25-50%,Flexible Hours,Yes,No,Permanant,Yes,Outskirt Town,Average,Low Cost,No,Working,3,Yes,No,Yes,Yes,No,More Than 12 Days,No,No,No,Yes,2000 to 5000,High,High,High,Yes
76,19-26,Female,Married,0-2',5,3.5-7K,50-75%,Flexible Hours,No,Yes,Permanant,No,Town,Near,Low Cost,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,Yes
77,27-33,Female,Married,3-5',5,7-10K,50-75%,Mon-Fri,No,No,Permanant,Yes,Outskirt Town,Average,Low Cost,Yes,Working,3,No,No,No,No,Yes,More Than 12 Days,Yes,No,Yes,Yes,2000 to 5000,High,Low,High,Yes
78,19-26,Female,Married,0-2',5,3.5-7K,50-75%,24/7 Operation,Yes,Yes,Permanant,No,Town,Average,High Cost,No,Working,2,Yes,Yes,No,No,No,More Than 12 Days,No,Yes,No,No,More Than 5000,High,High,High,No
79,19-26,Male,Single,0-2',2,3.5-7K,25-50%,24/7 Operation,No,No,Permanant,Yes,Outskirt Town,Average,Low Cost,No,Unemployed/Resigned,3,Yes,Yes,No,No,No,More Than 12 Days,No,No,No,Yes,Less Than 200,High,High,High,Yes
80,27-33,Female,Married,0-2',5,3.5-7K,<25%,24/7 Operation,No,Yes,Permanant,Yes,Town,Near,Low Cost,No,Unemployed/Resigned,3,No,Yes,No,Yes,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
81,27-33,Female,Married,0-2',2,3.5-7K,<25%,24/7 Operation,No,Yes,Permanant,No,Business Centre,Far,Average,No,Unemployed/Resigned,4,No,No,No,No,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
82,19-26,Female,Married,6-8',5,3.5-7K,25-50%,24/7 Operation,No,No,Permanant,No,Outskirt Town,Average,High Cost,No,Working,3,No,No,No,No,No,Less Than 12 Days,No,No,No,Yes,200 to 500,High,High,High,No
83,19-26,Female,Single,0-2',2,3.5-7K,<25%,Flexible Hours,No,No,Permanant,Yes,Town,Average,Average,No,Unemployed/Resigned,3,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,Yes
84,27-33,Female,Single,0-2',2,3.5-7K,<25%,Mon-Fri,Yes,No,Contract,No,Town,Average,Low Cost,No,Unemployed/Resigned,3,No,No,No,No,No,More Than 12 Days,No,No,Yes,No,More Than 5000,High,High,High,No
85,19-26,Female,Single,3-5',5,3.5-7K,75-100%,24/7 Operation,No,Yes,Permanant,No,Town,Near,Average,Yes,Working,5,No,Yes,No,Yes,Yes,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,Yes
86,19-26,Male,Married,0-2',2,3.5-7K,<25%,Flexible Hours,No,No,Permanant,No,Town,Average,Average,Yes,Unemployed/Resigned,3,Yes,No,Yes,No,No,More Than 12 Days,No,No,No,Yes,2000 to 5000,High,High,High,Yes
87,19-26,Male,Married,3-5',5,3.5-7K,25-50%,24/7 Operation,No,No,Permanant,Yes,Town,Near,High Cost,No,Working,4,Yes,Yes,No,No,No,More Than 12 Days,No,No,No,Yes,200 to 500,High,High,High,Yes
88,19-26,Male,Married,0-2',2,3.5-7K,<25%,24/7 Operation,No,No,Permanant,No,Town,Average,Average,Yes,Unemployed/Resigned,2,Yes,Yes,No,No,Yes,More Than 12 Days,No,No,No,Yes,Less Than 200,High,High,High,Yes
89,19-26,Male,Single,0-2',5,3.5-7K,75-100%,24/7 Operation,No,Yes,Permanant,Yes,Business Centre,Near,Low Cost,No,Working,5,No,Yes,No,No,Yes,More Than 12 Days,No,No,No,Yes,More Than 5000,High,High,High,Yes
90,27-33,Male,Single,6-8',8,10-15K,25-50%,24/7 Operation,No,No,Permanant,Yes,Business Centre,Average,High Cost,Yes,Working,4,Yes,No,No,No,No,Less Than 12 Days,No,No,No,No,Less Than 200,High,High,High,No
91,34-40,Female,Single,6-8',8 Above,7-10K,50-75%,Mon-Fri,Yes,No,Permanant,Yes,Business Centre,Average,High Cost,No,Working,5,Yes,No,No,No,Yes,More Than 12 Days,Yes,Yes,Yes,Yes,More Than 5000,High,High,High,Yes
92,34-40,Male,Married,0-2',8 Above,15K Above,<25%,Mon-Fri,Yes,No,Permanant,Yes,Business Centre,Far,High Cost,Yes,Working,3,Yes,No,No,Yes,No,More Than 12 Days,Yes,No,No,No,2000 to 5000,High,High,High,No
93,34-40,Male,Married,3-5',8 Above,15K Above,25-50%,Mon-Fri,No,Yes,Permanant,Yes,Outskirt Town,Average,High Cost,Yes,Working,4,Yes,No,Yes,No,No,More Than 12 Days,Yes,No,No,Yes,More Than 5000,High,High,High,Yes
94,34-40,Male,Married,9 Above,8 Above,10-15K,75-100%,Flexible Hours,No,No,Permanant,Yes,Outskirt Town,Far,Average,Yes,Working,3,No,No,No,No,Yes,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,Yes
95,34-40,Female,Married,6-8',8,10-15K,50-75%,24/7 Operation,No,Yes,Permanant,Yes,Outskirt Town,Far,High Cost,No,Working,3,No,No,No,No,No,More Than 12 Days,No,No,No,Yes,200 to 500,High,High,High,No
96,34-40,Male,Single,3-5',8 Above,7-10K,50-75%,24/7 Operation,No,Yes,Contract,Yes,Town,Average,Average,Yes,Working,3,Yes,Yes,No,No,No,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,No
97,34-40,Male,Single,9 Above,8,15K Above,25-50%,Mon-Fri,No,No,Contract,Yes,Town,Near,Average,No,Working,5,No,No,No,No,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
98,34-40,Female,Married,3-5',8,7-10K,<25%,24/7 Operation,No,No,Contract,Yes,Business Centre,Average,High Cost,Yes,Working,4,Yes,No,No,No,No,Less Than 12 Days,No,No,No,No,500 to 2000,High,High,High,No
99,34-40,Male,Married,9 Above,8,7-10K,25-50%,24/7 Operation,No,No,Contract,Yes,Business Centre,Far,High Cost,No,Working,3,Yes,No,No,No,No,More Than 12 Days,Yes,Yes,No,Yes,2000 to 5000,High,High,High,No
100,34-40,Male,Married,3-5',8 Above,7-10K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Far,High Cost,No,Working,3,No,No,No,No,Yes,Less Than 12 Days,No,No,No,No,500 to 2000,High,High,High,No
101,19-26,Female,Married,3-5',5,3.5-7K,25-50%,Flexible Hours,No,No,Permanant,Yes,Outskirt Town,Average,High Cost,No,Working,3,Yes,No,Yes,Yes,No,More Than 12 Days,No,No,Yes,Yes,2000 to 5000,High,High,High,Yes
102,19-26,Female,Married,0-2',5,3.5-7K,25-50%,24/7 Operation,No,No,Permanant,No,Outskirt Town,Near,High Cost,No,Working,2,No,No,No,No,No,More Than 12 Days,No,No,No,Yes,Less Than 200,High,High,High,No
103,19-26,Female,Single,3-5',2,3.5-7K,<25%,Flexible Hours,Yes,No,Permanant,No,Town,Average,Average,Yes,Working,2,No,No,Yes,Yes,No,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,No
104,19-26,Female,Single,3-5',5,3.5-7K,25-50%,24/7 Operation,No,Yes,Permanant,Yes,Town,Near,High Cost,No,Working,4,Yes,Yes,No,No,No,More Than 12 Days,No,No,No,Yes,200 to 500,High,High,High,Yes
105,19-26,Female,Single,0-2',2,3.5-7K,<25%,24/7 Operation,No,No,Permanant,No,Outskirt Town,Average,Average,No,Working,2,No,Yes,No,No,Yes,More Than 12 Days,No,No,No,Yes,Less Than 200,High,High,High,No
106,19-26,Female,Married,0-2',5,3.5-7K,75-100%,24/7 Operation,No,Yes,Permanant,Yes,Business Centre,Near,Low Cost,No,Working,5,Yes,Yes,Yes,No,Yes,More Than 12 Days,No,No,Yes,Yes,More Than 5000,High,High,High,Yes
107,19-26,Male,Single,0-2',5,3.5-7K,25-50%,Flexible Hours,Yes,Yes,Permanant,No,Town,Near,Low Cost,Yes,Unemployed/Resigned,3,Yes,No,No,No,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,Yes
108,27-33,Female,Single,3-5',5,7-10K,50-75%,Mon-Fri,No,No,Permanant,Yes,Outskirt Town,Average,Average,Yes,Working,3,No,No,No,No,Yes,More Than 12 Days,Yes,No,Yes,Yes,2000 to 5000,High,Low,High,Yes
109,19-26,Female,Single,0-2',5,3.5-7K,50-75%,24/7 Operation,Yes,Yes,Permanant,No,Town,Far,High Cost,No,Working,4,Yes,Yes,No,No,No,More Than 12 Days,No,Yes,Yes,No,More Than 5000,High,High,High,No
110,27-33,Female,Single,3-5',5,3.5-7K,50-75%,24/7 Operation,No,Yes,Permanant,Yes,Town,Near,Low Cost,Yes,Working,3,Yes,Yes,Yes,No,No,More Than 12 Days,No,No,Yes,Yes,2000 to 5000,High,High,High,Yes
111,27-33,Female,Single,0-2',5,3.5-7K,<25%,24/7 Operation,No,Yes,Permanant,No,Business Centre,Average,Average,No,Working,4,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,No
